"VerifyOtp","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"NewUserRegister","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"Login","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"GetUser","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"UpdateUser","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"GetTemplate","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"CreateZine","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"GetCompleteZine","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"GetAllSqlZine","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"GetOthersZine","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"FetchOwnZine","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
"printAllRecords","/dynamicEndpoint","GET","{ ""data"": ""value"" }","200","200","{ ""response"": ""success"" }","Success","1","Content-Type: application/json","0"
